Reaction	In-Pathway
SEPIAPTERIN-REDUCTASE-RXN	
RXN-11117	PWY-6408 // RXN-19468
RXN-24489	RXN-24493 // PWY-8513
RXN-4861	PWY-7680 // PWY-5411 // PWY-5422 // PWY-5421 // PWY-5414 // PWY-5413 // PWY-5412
RXN-10731	
RXN-19661	PWY-6325
RXN-21510	
RXN-20627	
CYSTHIOCYS-RXN	
RXN-7185	
RXN-13569	
RXN-20394	SPHINGOLIPID-SYN-PWY
RXN-19852	PWY-8012
RXN-19173	PWY-7945
RXN0-6435	PWY-8319
DTDP-GALACTOSE-6-DEHYDROGENASE-RXN	
RXN-18302	PWY-7840
RXN-11619	PWY-6650 // PWY-6575
RXN-15115	
RXN-13491	PWY-7066
3.1.2.27-RXN	
RXN-13489	PWY-7066 // RXN-19714
RXN-21884	PWY-8237
RXN-20043	
RXN-8495	PWY-8395 // PWY-5406 // PWY-5408 // PWY-5407
RXN-18103	JUGLONE-3-MONOOXYGENASE-RXN
RXN-1026	
1.2.1.47-RXN	PWY-6100
RXN-17462	PWY-7760 // RXN-18421
RXN-18318	PWY-7842
RXN-11623	PWY-6577
RXN-11550	PWY-6553
FORMYL-COA-HYDROLASE-RXN	PWY66-387 // PWY66-388 // PWY-7985 // PWY-6696
RXN-5183	PWY-3081
RXN-18975	
RXN-2602	PWY-361 // PWY-6027
RXN-21343	PWY-8134
MALTODEG-RXN	
RXN-17132	
2TRANSKETO-RXN	PWY-8178 // PWY-6901 // CALVIN-PWY // PWY-5723 // NONOXIPENT-PWY // P185-PWY // PWY-1861 // P21-PWY
3.2.2.11-RXN	
RXN-12276	PWY-6724
RXN-16872	PWY-7690
RXN-21749	PWY-8179
RXN-19963	RXN-19962
RXNQT-4167	
THIOETHER-S-METHYLTRANSFERASE-RXN	
2.3.1.158-RXN	
RXN-21902	
RXN-20871	PWY-8083
RXN-17624	
RXN-20460	PWY-8047
RXN-7697	PWY-5080
RXN-12806	PWY-6953
5.1.1.11-RXN	
RXN-18049	PWY-7818
RXN-9149	PWY-5822
RXN-21197	PWY-8118
RXN-11101	PWY-2582
RXN-16544	PWY-7655
RXN-17833	PWY-7797
RXN1G-951	PWYG-321
CYTIDEAM-RXN	PWY-7181 // PWY-7199
RXN0-7392	PWY0-1309
LINOLEATE-ISOMERASE-RXN	
2.1.1.72-RXN	
RXN-16058	PWY-7591
RXN-22874	
RXN-15019	PWY-7403
RXN-9779	PWY-6368 // PWY-6367
RXN3O-9962	PWY-7282
RXN-15123	4.1.99.4-RXN // HOMOCYSTEINE-DESULFHYDRASE-RXN // METBALT-RXN // RXN-15130 // PWY-701 // METHIONINE-GAMMA-LYASE-RXN // HOMOSERDEAM-RXN // PWY-5826 // PWY-5437 // THREDEHYD-RXN // ILEUSYN-PWY
RXN-24409	
RXN-23874	PWY-7950
RXN-15746	PWY-7542
RXN-21365	
RXN-8660	
RXN-23103	PWY-7100
RXNQT-4337	PWYQT-4474
RXN-13054	AEROBACTINSYN-PWY
RXN-4727	PWY-2881
RXN-13688	
RXN-11472	PWY-8255
RXN-14289	
3-SULFINYL-PYRUVATE-SPON-RXN	CYSTEINE-DEG-PWY
RXN18C3-34	PWY18C3-16 // PWY18C3-10
RXN-20085	
RXN-943	PWY-142
RXN-20529	PWY-8052
RXN-17921	RXN-15713
RXN-17355	2.7.3.9-RXN
RXN-10751	
RXN-18689	PWY-7887 // RXN-18794
RXN-15198	PWY-7431
RXN-11737	PWY-6638 // PWY-6642 // PWY-6643
SULFINOALANINE-DECARBOXYLASE-RXN	PWY-5331
RXN-14288	
RXN-15823	RXN-18023 // PWY-7557
RXN-12128	
METHYLGALLATE-RXN	PWY-6339 // METHYLGALLATE-DEGRADATION-PWY
RXN-15965	PWY-7572
RXN-8186	RXN-19151 // PWY-5288 // PWY-7636
RXN-9752	PWY-6051
RXN-12041	PWY-6686
9-FLUORENOL-DEHYDROGENASE-RXN	FLUORENE-DEG-9-ONE-PWY
RXN-22809	
RXN-15357	
RXN-9538	PWY66-430 // PWY-8279
RXN0-7165	
RXN-17040	PWY-7730
2.4.1.54-RXN	
3.4.21.21-RXN	PWY66-432
RXN-2881	PWY-1622 // PWY-7909
RXN-24161	
RXN-15224	PWY-6524
RXN-14805	
RXN66-567	PWY-7455
2.4.1.36-RXN	TREHALOSESYN-PWY
RXN-15121	4.1.99.4-RXN // HOMOCYSTEINE-DESULFHYDRASE-RXN // METBALT-RXN // RXN-15130 // PWY-701 // METHIONINE-GAMMA-LYASE-RXN // HOMOSERDEAM-RXN // PWY-5826 // PWY-5437 // THREDEHYD-RXN // ILEUSYN-PWY
RXN-16790	PWY-7963
RXN-15968	PWY-7572
RXN-11671	PWY-7634
RXN-20453	PWY-8045
RXN-11667	PWY-6863 // PWY-5789 // P3-PWY // P162-PWY // CENTFERM-PWY // PWY-6583 // PWY0-1337 // PWY-7401 // PWY-5177 // PWY-6883
RXN-22478	
RXN-15605	
RXN-14693	PWY3DJ-35471 // PWY-4841 // PWY-5525 // PWY-7247
RXN-23068	PWY-8360
4.2.2.2-RXN	
RXN18C3-57	PWY18C3-21
RXN-19839	CAMALEXIN-SYN // PWY-8024 // RXN-20041 // RXN-19835
RXN-10807	PWY-7366
RXN-24292	PWY-8487
BUTYRATE--COA-LIGASE-RXN	PWY-7007
RXN-21178	PWY-6682
RXN-18589	PWY-7873 // PWY-7872 // RXN-18601
RXN-15774	
RXN-11207	PWY-6425
RXN66-483	PWY66-387
RXN-23174	
RXN-15589	
RXN-16631	PWY-7663
RXN-16000	RXN-16001
RXN-23985	PWY-8459
RXN-9176	PWY-5827
RXN0-6483	PWY0-1479
4.2.3.25-RXN	PWY-7141
RXN-13218	PWY-7019
RXN-13075	
RXN-8721	PWY-5477
RXN-13661	PWY-7109
HOMOSERDEAM-RXN	
RXN18C3-15	PWY18C3-5
RXN-16920	PWY-7695
GSPSYN-RXN	PWY-4121
RXN-18138	PWY-7826
DIMETHYLGLYCINE-DEHYDROGENASE-RXN	PWY-3661-1
RXN-22204	PWY-8238
HISTOLDEHYD-RXN	HISTSYN-PWY // RXN-8001
RXN-20040	PWY-8024
RXN-10482	PWY-6244
RXN490-3641	
RXN-14281	
RXN1G-4355	PWYG-321
RXN-18632	PWY-7880
RXN-15052	PWY-7412
RXN-23786	PWY-6763
RXN-18595	PWY-7874
RXN-17641	PWY-7780
RXN1A0-6303	PWY1A0-6325
RXN-11158	PWY-7993
RXN-20038	
ACECOATRANS-RXN	
RXN-13548	PWY-7077 // PWY-7395
RXN-14575	PWY-7291
RXN-20383	
RXN-13419	
RXN-22657	
RXN-14012	PWY-5321
4.1.1.64-RXN	
RXN-4225	PWY-2582
RXN-8555	
RXN-17534	PWY-7770
ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN	
RXN-13907	PWY-7158
RXN-10690	PWY-6297
RXN-19133	PWY-7938
RXN-17528	RXN-10830
RXN-19826	
RXN-18178	
RXN-21924	
3.5.3.21-RXN	
RXN-13561	PWY-7081
R11-RXN	P3-PWY // P162-PWY // PWY-8190 // PWY-5022 // PWY-5677 // PWY-5676
RXN-11570	
RXN-8323	PWY-762
RXN-13958	
RXN-23267	
FTRMBARK-RXN	PWY-5209
RXN-18082	
RXN-14932	PWY-5283
RXN-9163	PWY-5825
RXN-14697	PWY-7847
ADENODEAMIN-RXN	PWY0-1296 // SALVADEHYPOX-PWY // PWY-6609 // PWY-6611
RXN-22182	PWY66-374
RXN-15554	PWY-7510
RXN-19704	
4.2.2.8-RXN	PWY-7651
RXN1G-89	PWYG-321
RXN-11625	PWY-6577
1.7.1.12-RXN	
RXN-16686	PWY-7668
RXN-8525	PWY-5414
RXN-13165	PWY-7000 // PWY-7015
RXN-18237	
RXN-18225	
RXN-23353	PWY-8389
RXN3O-9966	
RXN-24354	PWY-8495 // PWY-8494
RXN0-4401	
ALADEHYDCHLORO-RXN	
RXN-20298	PWY-8037
RXN-14491	PWY-6433
RXN-15088	PWY-7420
RXN-16114	PWY-7726 // PWY-7728
RXN0-361	PWY-7195
RXN-11851	PWY-5660
2.1.1.143-RXN	PWY-2541
ALLANTOINASE-RXN	PWY-5698 // PWY-5697
RXN-12145	PWY-6711
2.3.1.103-RXN	PWY-3301
RXN1G-266	PWYG-321
RXN-15694	PWY-7535
RXN-13365	PWY-7042
RXN-13229	
RXN-18224	
RXN-12178	PWY-6572 // PWY-7646
RXN-17507	RXN-17509
RXN0-5182	GLYCOCAT-PWY
RXN-21420	PWY-5935
RXN-13294	PWY-7036
RXN-12066	PWY-2821 // PWY-7824 // RXN-4602
RXN-24240	PWY-8482
THEANINE-HYDROLASE-RXN	
2.4.2.20-RXN	
RXN-15685	PWY-7533
RXN-17713	RXN-17715
CYCLOHEXANE-13-DIONE-HYDROLASE-RXN	
RXN2DNV-26	PWY2DNV-5
RXN-12628	
1.14.13.101-RXN	PWY-6852
2.4.1.116-RXN	
RXN-17144	PWY-7734
RXN-21089	PWY-8112
RXN-7022	
RXN-7202	PWY-4661
RXN-18715	PWY-7895
RXN-20790	PWY-8074
RXN-23487	PWY-8399
RXN-8352	PWY-2541
CITRYLY-RXN	PWY-6038 // CITLY-RXN
RXN-21011	
RXN-15894	PWY-7563
RXN-24200	PWY-8476
RXN-18913	
RXN-11757	
RXN0-6366	
RXN-17218	RXN-18547
RXN-23983	PWY-8459
RXN-21562	PWY-8164
RXN-15226	PWY-7440
RXN-14175	
DHBDEHYD-RXN	PWY-5901
RXN-4505	PWY-2761
RXN-10927	PWY-6345
RXN-14826	PWY-7352
RXN-23185	PWY-8371
RXN-16710	PWY-7944 // RXN-16711
RXN-6723	PWY18C3-22 // PWY-4203
RXN0-2382	TRPSYN-PWY // TRYPSYN-RXN
RXN-15734	PWY-6148
RXN-5109	PWY-3041
RXN-19850	PWY-8012
RXN-17787	
GLUCOSE-1-PHOSPHATE-PHOSPHODISMUTASE-RXN	
RXN-20983	
R201-RXN	P201-PWY
GDPMANMANHYDRO-RXN	
RXN-19962	
1.2.1.32-RXN	PWY-5654 // PWY-6210 // PWY-5652 // PWY-5647
RXN-8620	PWY-6668
RXN-11898	PWY-6666
RXN-10835	PWY-7769 // PWY-6322
CYCLOHEXANONE-MONOOXYGENASE-RXN	CYCLOHEXANOL-OXIDATION-PWY
RXN-13927	
HOMOGENTISATE-12-DIOXYGENASE-RXN	TYRFUMCAT-PWY
4.4.1.25-RXN	PWY-6638
RXN-18405	PCPDEG-PWY // TECH1REDHAL-RXN
RXN-24058	
RXN66-319	PWY-8239 // PWY66-341 // PWY-6074
METHYLMALONYL-COA-MUT-RXN	PWY-8086 // PWY-5789 // P108-PWY // PWY-6728 // PWY-5743 // PWY-7854 // PWY-7384 // PROPIONMET-PWY // PWY0-43
ACETYLHOMOSER-CYS-RXN	PWY-5344
PUTRESCINE-CARBAMOYLTRANSFERASE-RXN	PWY2S1Y-3
R524-RXN	CYANCAT-PWY // RXN-12893
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	PWY-6708
RXN-17607	
RXN-21953	PWY-8235
RXN-16797	
RXN-22981	1.4.1.21-RXN // PWY-8352
RXN-13299	PWY-7036
RXN-17340	PWY-7747
RXN-18510	
RXN-22127	PWY-8219
RXN-18873	WATASEMIA-LUCIFERIN-2-MONOOXYGENASE-RXN // PWY-7916
GLUTAMINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY
RXN-21004	
RXN-24398	RXN-24241
6-HEXANOLIDE-HYDROLYSIS-RXN	CYCLOHEXANOL-OXIDATION-PWY
MALONATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	
RXN-15330	PWY-7450
RXN0-7271	GLUT-REDOX-PWY // PRODISULFREDUCT-RXN
RXN-22308	PWY-8257
RXN-9191	PWY-5839
RXN-12930	PWY-6973
RXN-16560	
RXN-12079	PWY-6693
1.1.1.292-RXN	PWY-6992
RXN1G-0	PWY1G-1
RXN-21927	
RXN-8250	PWY-5319
RXN-15802	
RXN-5141	PWY-8100
