Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions
PWY-5175	SECONDARY-METABOLITE-BIOSYNTHESIS	C40-Carotenoids-Biosynthesis	TAX-3398	ORG-6001	RXN-8030 // RXN-8029 // RXN-8028
PWY-5459	Methylglyoxal-Detoxification // Super-Pathways // Aldehyde-Degradation	Methylglyoxal-Detoxification // Super-Pathways	TAX-2	TAX-511145	1.1.1.283-RXN // PWY0-1317
PWY-8277	Cofactor-Biosynthesis	NAD-SYN	TAX-2157 // TAX-2	TAX-511145 // TAX-837 // TAX-53953	RXN-9772 // QUINOLINATE-SYNTHA-RXN // QUINOPRIBOTRANS-RXN // NAD-SYNTH-NH3-RXN // NAD-SYNTH-GLN-RXN // NICONUCADENYLYLTRAN-RXN
TRYPTOPHAN-DEGRADATION-1	Super-Pathways // Amino-Acid-Degradation	Super-Pathways // TRYPTOPHAN-DEG	TAX-4751 // TAX-33208	TAX-9606 // TAX-10090 // TAX-10116 // TAX-4932	PWY-5177 // PWY-5651 // PWY-5652
MALTOSECAT-PWY	Carbohydrates-Degradation	Sugars-And-Polysaccharides-Degradation	TAX-2	TAX-1580 // TAX-1358 // TAX-487	BETA-PHOSPHOGLUCOMUTASE-RXN // MALTOSE-PHOSPHORYLASE-RXN
PWY-7940	SECONDARY-METABOLITE-BIOSYNTHESIS	C40-Carotenoids-Biosynthesis	TAX-191412	TAX-274537 // TAX-1097 // TAX-331678 // TAX-290317	RXN-19138 // RXN-19139 // RXN-19140
PWY3O-4107	Cofactor-Biosynthesis	NAD-SYN	TAX-2759	TAX-4932	RXN-15025 // NAD-SYNTH-GLN-RXN // NICOTINAMID-RXN // NICOTINATEPRIBOSYLTRANS-RXN // NICONUCADENYLYLTRAN-RXN
PWY-5081	Amino-Acid-Degradation	TRYPTOPHAN-DEG	TAX-4751	TAX-4932	2.6.1.28-RXN // 1.1.1.190-RXN // 4.1.1.74-RXN // TRYPTOPHAN-AMINOTRANSFERASE-RXN
PWY-8324	Carbohydrates-Degradation	Sugars-And-Polysaccharides-Degradation	TAX-2	TAX-1402 // TAX-571 // TAX-573 // TAX-28901	RXN-22448 // TRANS-RXN-416 // TAGAALDOL-RXN
PWY-5943	SECONDARY-METABOLITE-BIOSYNTHESIS	C40-Carotenoids-Biosynthesis	TAX-4751 // TAX-2 // TAX-2763 // TAX-3041 // TAX-33090	TAX-1703 // TAX-4072 // TAX-3649 // TAX-39639 // TAX-553 // TAX-4081 // TAX-4113 // TAX-264483 // ORG-5993 // ORG-6001	RXN1F-150 // RXN1F-151
GALACT-GLUCUROCAT-PWY	Super-Pathways	Super-Pathways	TAX-2	TAX-511145	GLUCUROCAT-PWY // GALACTUROCAT-PWY
NAD-BIOSYNTHESIS-II	Cofactor-Biosynthesis	NAD-SYN	TAX-2	TAX-714 // TAX-511145 // TAX-727 // TAX-1358 // TAX-272131 // TAX-747 // TAX-730	RXN-5841 // RXN-5822 // NADPYROPHOSPHAT-RXN
PWY-6307	Amino-Acid-Degradation	TRYPTOPHAN-DEG	TAX-40674	TAX-9823 // TAX-10090 // TAX-10116 // TAX-9606	1.1.1.191-RXN // RXN-1401 // RXN-10715 // AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN
PWY-3861	Carbohydrates-Degradation // Alcohol-Degradation	Mannitol-Degradation	TAX-58023	TAX-4045 // ORG-5886	RXN-14500 // 1.1.1.255-RXN // MANNKIN-RXN // MANNPISOM-RXN
PWY-5046	Energy-Metabolism	Respiration	TAX-2759 // TAX-2 // TAX-2157	TAX-1422 // TAX-9606 // TAX-10090 // TAX-287 // TAX-303 // TAX-10116 // TAX-2287 // TAX-1142	RXN-7719 // 2.3.1.168-RXN // 1.2.4.4-RXN
PWY-7950	SECONDARY-METABOLITE-BIOSYNTHESIS	C40-Carotenoids-Biosynthesis	TAX-2836 // TAX-2864 // TAX-2833 // TAX-2825	TAX-29205 // TAX-2850	RXN-19203 // RXN-19198 // RXN-19197 // RXN-19196 // RXN-19184
PWY-3502	Super-Pathways // Cofactor-Biosynthesis	NAD-SYN // Super-Pathways	TAX-2759	TAX-4932	PWY3O-4106 // NADSYN-PWY // PWY3O-4107
PWY-8017	Super-Pathways // Amino-Acid-Degradation // Energy-Metabolism	Stickland-Reductive // Super-Pathways // TRYPTOPHAN-DEG	TAX-2	TAX-1509	RXN-19896 // RXN-19895 // TRPKYNCAT-PWY // TRYPTOPHAN-AMINOTRANSFERASE-RXN // INDOLELACTATE-DEHYDROGENASE-RXN // RXN-19885
PWY0-1301	Carbohydrates-Degradation	Sugars-And-Polysaccharides-Degradation	TAX-2759 // TAX-2 // TAX-2157	TAX-511145	ALPHAGALACTOSID-RXN
PWY-5946	SECONDARY-METABOLITE-BIOSYNTHESIS	C40-Carotenoids-Biosynthesis	TAX-4751 // TAX-2763 // TAX-3041 // TAX-1117 // TAX-33090	TAX-167539 // TAX-4072 // TAX-4081 // TAX-4113 // TAX-264483 // ORG-5993 // ORG-6001	RXN1F-148 // RXN1F-147
PWY-5717	Super-Pathways	Super-Pathways	TAX-3803	TAX-3827 // TAX-3879 // TAX-3880 // TAX-57577	PWY-2904 // PWY-2464 // PWY-2463
PWY-7761	Cofactor-Biosynthesis	NAD-SYN	TAX-2	TAX-511145 // TAX-90371	NAD-SYNTH-NH3-RXN // NAD-SYNTH-GLN-RXN // NADPYROPHOSPHAT-RXN // NMNAMIDOHYDRO-RXN // NICONUCADENYLYLTRAN-RXN
TRYPDEG-PWY	Amino-Acid-Degradation	TRYPTOPHAN-DEG	TAX-2	TAX-644 // TAX-548 // TAX-511145 // TAX-856 // TAX-44250 // TAX-747 // TAX-1747 // TAX-585 // TAX-2734 // TAX-666 // TAX-669 // ORG-6015 // ORG-5991	RXN-15578 // RXN-15127 // RXN-15124
PWY-6778	Carbohydrates-Degradation	Sugars-And-Polysaccharides-Degradation	TAX-131567	TAX-3039	LAMINARIBIOSE-PHOSPHORYLASE-RXN
PWY-5084	Energy-Metabolism	Respiration	TAX-2759 // TAX-2 // TAX-2157	TAX-1423 // TAX-1299 // TAX-511145 // TAX-1422 // TAX-9606 // TAX-10090 // TAX-287 // TAX-303 // TAX-10116 // TAX-2287 // TAX-1142	RXN-7716 // RXN0-1147 // 2OXOGLUTDECARB-RXN
PWY-5942	Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	Lycopene-Biosynthesis // Super-Pathways	TAX-4751 // TAX-2157 // TAX-2	TAX-1911 // TAX-251221 // TAX-34 // TAX-5141 // TAX-553 // TAX-66269 // TAX-28068 // TAX-264483	RXN-12412 // RXNARA-8002 // PWY-6287
PWY3O-4106	Cofactor-Biosynthesis	NAD-SYN	TAX-33208 // TAX-4751 // TAX-2	TAX-511145 // TAX-727 // TAX-9606 // TAX-4932	RIBOSYLNICOTINAMIDE-KINASE-RXN // 2.7.7.1-RXN
PWY-5655	Super-Pathways // Amino-Acid-Degradation	Super-Pathways // TRYPTOPHAN-DEG	TAX-2	TAX-1396 // TAX-216591	PWY-5162 // PWY-5651 // PWY-5654
PWY0-1602	Carbohydrates-Degradation	Carbohydrates-Degradation	TAX-2	TAX-511145	RXN-20680 // RXN-20681 // RXN-20682
PWY-6475	SECONDARY-METABOLITE-BIOSYNTHESIS	Lycopene-Biosynthesis	TAX-191410 // TAX-1117 // TAX-2763 // TAX-33090	TAX-4072 // TAX-1097 // TAX-103690 // TAX-4081 // TAX-4113 // TAX-1140 // TAX-1111708 // TAX-4577 // ORG-5993 // ORG-6001	RXN-12244 // RXN-12243 // RXN-11357 // RXN-8042 // RXNARA-8002 // 2.5.1.32-RXN // RXN-11356 // RXN-11354
PWY-5991	Super-Pathways	Super-Pathways	TAX-4004 // TAX-3977 // TAX-4210 // TAX-3803 // TAX-3465	TAX-4006 // TAX-34305 // TAX-3983	PWY-5990 // PWY-3022
PYRIDNUCSYN-PWY	Cofactor-Biosynthesis	NAD-SYN	TAX-2759 // TAX-2	TAX-1396 // TAX-1423 // TAX-266264 // TAX-511145 // TAX-3635 // TAX-1773 // TAX-4093 // TAX-4097 // TAX-287 // TAX-303 // TAX-305 // TAX-3988 // ORG-5993	L-ASPARTATE-OXID-RXN // QUINOLINATE-SYNTHA-RXN // QUINOPRIBOTRANS-RXN // NAD-SYNTH-NH3-RXN // NAD-SYNTH-GLN-RXN // NICONUCADENYLYLTRAN-RXN
PWY-6505	Super-Pathways // Amino-Acid-Degradation	Super-Pathways // TRYPTOPHAN-DEG	TAX-2	TAX-420246	1.13.11.6-RXN // PWY-5654 // PWY-6504 // TRPCAT-PWY // PWY-5162
PWY-7077	Carbohydrates-Degradation	Sugar-Derivatives	TAX-1224	TAX-326297 // TAX-94122 // TAX-60480 // TAX-60481	TAGAALDOL-RXN // TAGAKIN-RXN // RXN-13548 // 3.5.1.80-RXN // RXN-13547
PWY-7226	Nucleotide-Biosynthesis	Guanosine-Deoxy-Denovo-Biosynthesis	TAX-2759 // TAX-2157 // TAX-2	TAX-511145 // TAX-9606 // TAX-4932 // TAX-90371 // ORG-5993	DGDPKIN-RXN // GDPREDUCT-RXN
NADSYN-PWY	Super-Pathways // Cofactor-Biosynthesis	NAD-SYN // Super-Pathways	TAX-2759 // TAX-2	TAX-201174 // TAX-985 // TAX-235140 // TAX-9606 // TAX-4530 // TAX-53483 // TAX-4932 // TAX-1890 // TAX-56448 // TAX-53413	PWY-5653 // PWY-5651
TRPKYNCAT-PWY	Amino-Acid-Degradation	TRYPTOPHAN-DEG	TAX-1239	TAX-1491 // TAX-1509 // TAX-33958 // TAX-1582 // TAX-1587 // TAX-33965	INDOLELACTATE-DEHYDROGENASE-RXN // TRYPTOPHAN-AMINOTRANSFERASE-RXN
PWY4FS-13	Carbohydrates-Degradation	Sugar-Derivatives	TAX-33090	ORG-5993	RXN-7772 // RXN4FS-13 // RXN4FS-14
PWY-7222	Nucleotide-Biosynthesis	Guanosine-Deoxy-Denovo-Biosynthesis	TAX-2	TAX-511145 // TAX-90371	DGDPKIN-RXN // RXN0-748 // RXN0-746 // GDPREDUCT-RXN
PWY-6234	Super-Pathways	Super-Pathways	TAX-33090	TAX-49451 // ORG-5993	PWY-6233 // PWY-6220
PWY-5653	Cofactor-Biosynthesis	NAD-SYN	TAX-2759 // TAX-2	TAX-201174 // TAX-985 // TAX-235140 // TAX-9606 // TAX-4530 // TAX-53483 // TAX-4932 // TAX-1890 // TAX-56448 // TAX-53413	RXN-5721 // QUINOPRIBOTRANS-RXN // NAD-SYNTH-GLN-RXN // NICONUCADENYLYLTRAN-RXN
PWY-3162	Amino-Acid-Degradation	TRYPTOPHAN-DEG	TAX-1224	TAX-294 // TAX-47492	RXN-5603 // RXN-5422 // RXN-5442 // RXN-5581 // RXN-5443 // RXN-5444 // RXN-5445 // RXN-5441 // RXN-5424 // RXN-5423 // RXN-5421 // RXN-5403 // RXN-5402
PWY-7395	Carbohydrates-Degradation	Sugar-Derivatives	TAX-1224	TAX-83334 // TAX-37762 // TAX-498388	TAGAALDOL-RXN // TAGAKIN-RXN // RXN-13548 // 3.5.1.80-RXN
PWY-5269	Lipid-Biosynthesis	Cardiolipin-Biosynthesis	TAX-2759	TAX-9606 // TAX-3916 // ORG-5993	RXN-8141 // PGPPHOSPHA-RXN // PHOSPHAGLYPSYN-RXN
PWY-8352	Cofactor-Biosynthesis	NAD-SYN	TAX-2157 // TAX-2	TAX-2234 // TAX-2190 // TAX-29291 // TAX-39152 // TAX-2320 // TAX-2208 // TAX-2209 // TAX-145262 // TAX-2336	RXN-22981 // QUINOLINATE-SYNTHA-RXN // QUINOPRIBOTRANS-RXN // NAD-SYNTH-NH3-RXN // NAD-SYNTH-GLN-RXN // NICONUCADENYLYLTRAN-RXN
PWY-5651	Amino-Acid-Degradation	TRYPTOPHAN-DEG	TAX-2 // TAX-4751 // TAX-33208	TAX-216591 // TAX-9606 // TAX-10090 // TAX-10116 // TAX-4932	RXN-8665 // 1.13.11.6-RXN // 3-HYDROXY-KYNURENINASE-RXN // KYNURENINE-3-MONOOXYGENASE-RXN // ARYLFORMAMIDASE-RXN
LYXMET-PWY	Carbohydrates-Degradation	Sugars-And-Polysaccharides-Degradation	TAX-2	TAX-511145	RIBULPEPIM-RXN // LXULRU5P-RXN // LYXK-RXN // LYXISOM-RXN
PWY-8401	Super-Pathways // Lipid-Biosynthesis	Cardiolipin-Biosynthesis // Super-Pathways	TAX-2	TAX-224911 // TAX-511145 // TAX-266834 // TAX-1280 // TAX-171101 // TAX-340 // TAX-314565	RXN-8141 // PWY-5981 // PWY0-1545 // PWY0-1319 // PWY-5669 // PWY-5668
PWY0-781	Super-Pathways	Super-Pathways	TAX-2	TAX-511145	SAM-PWY // PYRIDNUCSYN-PWY // P4-PWY // ASPARTATESYN-PWY
PYRIDNUCSAL-PWY	Cofactor-Biosynthesis	NAD-SYN	TAX-2	TAX-511145 // TAX-90371	NAD-SYNTH-NH3-RXN // NICOTINAMID-RXN // NAD-SYNTH-GLN-RXN // NMNNUCLEOSID-RXN // NICOTINATEPRIBOSYLTRANS-RXN // NADPYROPHOSPHAT-RXN // NICONUCADENYLYLTRAN-RXN
PWY-5133	SECONDARY-METABOLITE-BIOSYNTHESIS	TERPENOPHENOLICS-SYN	TAX-3481	TAX-3486	RXN-18449 // RXN-18447 // RXN-7813 // RXN-7812 // RXN-7809 // RXN-7805
PWY-8121	Carbohydrates-Degradation	Sugar-Derivatives	TAX-4751 // TAX-2	TAX-5062 // TAX-5535	3.1.3.68-RXN // RXN-18514 // RXN-18513 // KDUD-RXN
PWY-7509	Super-Pathways // Lipid-Biosynthesis	Cardiolipin-Biosynthesis // PhosphatidylethanolamineBiosynthesis // Super-Pathways	TAX-2	TAX-340 // TAX-314565	PWY-5669 // RXN-8141 // RXN-15544
PWY-5029	Amino-Acid-Biosynthesis	HISTIDINE-SYN	TAX-1224	TAX-285 // TAX-80866 // TAX-566546	HISTTRANSAM-RXN // IMILACTDEHYDROG-RXN
PWY-5808	SECONDARY-METABOLITE-BIOSYNTHESIS	TERPENOPHENOLICS-SYN	TAX-55962	TAX-55963 // TAX-65561	RXN-7810 // RXN-7811 // RXN-13549 // 2.3.1.156-RXN // RXN-9135 // RXN-7813 // RXN-7812 // RXN-7805
P302-PWY	Carbohydrates-Degradation	Sugars-And-Polysaccharides-Degradation	TAX-2 // TAX-33090	TAX-573	SORB6PDEHYDROG-RXN // R262-RXN
PWY-5668	Lipid-Biosynthesis	Cardiolipin-Biosynthesis	TAX-2	TAX-511145 // TAX-1280	PHOSPHAGLYPSYN-RXN // CARDIOLIPSYN-RXN // PGPPHOSPHA-RXN
HISTSYN-PWY	Amino-Acid-Biosynthesis	HISTIDINE-SYN	TAX-2157 // TAX-4751 // TAX-33090 // TAX-2	TAX-1423 // TAX-3715 // TAX-511145 // TAX-727 // TAX-4932 // TAX-90371 // TAX-342948 // TAX-2336 // TAX-300852 // ORG-5993	ATPPHOSPHORIBOSYLTRANS-RXN // HISTCYCLOHYD-RXN // HISTPRATPHYD-RXN // PRIBFAICARPISOM-RXN // GLUTAMIDOTRANS-RXN // IMIDPHOSDEHYD-RXN // HISTAMINOTRANS-RXN // HISTIDPHOS-RXN // HISTOLDEHYD-RXN // HISTALDEHYD-RXN
PWY-5132	SECONDARY-METABOLITE-BIOSYNTHESIS	TERPENOPHENOLICS-SYN	TAX-3481	TAX-3486	RXN-18446 // RXN-18441 // RXN-7807 // RXN-7810 // RXN-7811 // 2.3.1.156-RXN
PWY0-1300	Carbohydrates-Degradation	Sugar-Derivatives	TAX-2	TAX-511145	GKI-RXN // RXN0-5216
PWY0-1545	Lipid-Biosynthesis	Cardiolipin-Biosynthesis	TAX-2	TAX-511145	RXN0-7012 // PGPPHOSPHA-RXN // PHOSPHAGLYPSYN-RXN
PWY-8321	AROMATIC-COMPOUNDS-BIOSYN	Salicylate-Biosynthesis	TAX-3193	TAX-4058 // TAX-3659 // TAX-4097 // ORG-5993	RXN-22683 // RXN-22684 // ISOCHORSYN-RXN
PWY-5140	SECONDARY-METABOLITE-BIOSYNTHESIS	TERPENOPHENOLICS-SYN	TAX-3481	TAX-3483	RXN-23071 // RXN-23070 // RXN-14172 // RXN-13663 // RXN-13662 // RXN-13612 // RXN-7857 // RXN-7858 // RXN-7859 // RXN-7856 // RXN-7855 // RXN-7854 // RXN-7853
PWY-6527	Carbohydrates-Degradation	Carbohydrates-Degradation	TAX-33090	TAX-3656 // TAX-3659	GLUC1PURIDYLTRANS-RXN // GALACTOKIN-RXN // GALACTURIDYLYLTRANS-RXN // RXN-11502 // RXN-11501 // UDPGLUCEPIM-RXN // UTPHEXPURIDYLYLTRANS-RXN
PWY-8061	8-Oxo-GTP-Detoxification // Metabolic-Clusters	8-Oxo-GTP-Detoxification // Metabolic-Clusters	TAX-33154 // TAX-33090 // TAX-2	TAX-224308 // TAX-83332	RXN-14002 // RXN-20667 // RXN-12816 // RXN-20666 // RXN-11409 // RXN-11410
PWY-6406	AROMATIC-COMPOUNDS-BIOSYN	Salicylate-Biosynthesis	TAX-2	TAX-1773 // TAX-83332 // TAX-287 // TAX-630 // TAX-632	RXN-1981 // ISOCHORSYN-RXN
PWY-7857	SECONDARY-METABOLITE-BIOSYNTHESIS	TERPENOPHENOLICS-SYN	TAX-3481	TAX-3486	RXN-18452 // RXN-18448 // RXN-18439 // RXN-18442 // RXN-18445 // RXN-18450
PWY0-1314	Carbohydrates-Degradation	Sugars-And-Polysaccharides-Degradation	TAX-2 // TAX-2157	TAX-511145	1PFRUCTPHOSN-RXN
PWY18C3-22	AROMATIC-COMPOUNDS-BIOSYN	Salicylate-Biosynthesis	TAX-3398	TAX-4081	RXN-6723
PWY-5134	Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS // Metabolic-Clusters	Metabolic-Clusters // Super-Pathways // TERPENOPHENOLICS-SYN	TAX-3481	TAX-3486	PWY-7857 // PWY-5132 // PWY-5133
PWY-6992	Carbohydrates-Degradation	Sugars-And-Polysaccharides-Degradation	TAX-2	TAX-106592 // TAX-382	PGLUCISOM-RXN // MANNPISOM-RXN // MANNKIN-RXN // RXN-13064 // 1.1.1.292-RXN
PWY-5386-1	Methylglyoxal-Detoxification // Aldehyde-Degradation	Aldehyde-Degradation // Methylglyoxal-Detoxification	TAX-4751	TAX-4932	D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN // GLYOXII-RXN // GLYOXI-RXN
PWY-6502	8-Oxo-GTP-Detoxification // Metabolic-Clusters	8-Oxo-GTP-Detoxification // Metabolic-Clusters	TAX-33154 // TAX-33090 // TAX-2	TAX-511145 // TAX-9606 // TAX-4932 // ORG-5993	RXN-11397 // RXN-11396 // RXN-11409 // RXN-11410
PWY-981	AROMATIC-COMPOUNDS-BIOSYN	Salicylate-Biosynthesis	TAX-33090	TAX-4058 // TAX-3659 // TAX-4097 // ORG-5993	RXN-2009 // RXN-2008
PWY-7105	SECONDARY-METABOLITE-BIOSYNTHESIS	TERPENOPHENOLICS-SYN	TAX-3482	TAX-3483	RXN-13666 // RXN-13665 // RXN-13664 // RXN-13663 // RXN-13662
PWY4FS-12	Carbohydrates-Degradation	Sugar-Derivatives	TAX-33090	ORG-5993	RXN-7772 // RXN4FS-12
METHGLYUT-PWY	Super-Pathways // Aldehyde-Degradation	Aldehyde-Degradation // Super-Pathways	TAX-2	TAX-511145	PWY-5459 // PWY-5453 // PWY-5386
GLUCONEO-PWY	Carbohydrates-Biosynthesis	Gluconeogenesis	TAX-4751 // TAX-33090 // TAX-2157 // TAX-2	TAX-3708 // TAX-3659 // TAX-511145 // TAX-3847 // TAX-4513 // TAX-4097 // TAX-4530 // TAX-3888 // TAX-3988 // TAX-4081 // TAX-4113 // TAX-3906 // TAX-4577 // ORG-5993	PGLUCISOM-RXN // MALATE-DEH-RXN // 1.1.1.39-RXN // TRIOSEPISOMERIZATION-RXN // MALIC-NADP-RXN // PEPSYNTH-RXN // PEPCARBOXYKIN-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // F16ALDOLASE-RXN // F16BDEPHOS-RXN
PWY-5364	Noncarbon-Nutrients	Sulfur-reduction	TAX-2 // TAX-2157	TAX-876 // TAX-2261 // TAX-844	RXN-8269 // RXN-8380
PWY-7180	Carbohydrates-Degradation	Sugar-Derivatives	TAX-2	TAX-511145	ACETALD-DEHYDROG-RXN // DEOXYRIBOSE-P-ALD-RXN // D-PPENTOMUT-RXN
PWY-5643	AROMATIC-COMPOUNDS-DEGRADATION	Dinitrotoluene-Degradation	TAX-2	ORG-5909 // ORG-5882	RXN-8827 // RXN-8826 // RXN-8825
PWY66-399	Carbohydrates-Biosynthesis	Gluconeogenesis	TAX-33208	TAX-9606	PGLUCISOM-RXN // MALATE-DEH-RXN // RXN66-526 // 4.1.1.32-RXN // PYRUVATE-CARBOXYLASE-RXN // TRIOSEPISOMERIZATION-RXN // 2PGADEHYDRAT-RXN // RXN-15513 // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // F16ALDOLASE-RXN // F16BDEPHOS-RXN
PWY-5332	Noncarbon-Nutrients	Sulfur-reduction	TAX-2 // TAX-2157	TAX-2283 // TAX-2271 // TAX-57666 // TAX-41675 // TAX-52001 // TAX-65553 // TAX-35616 // TAX-54256 // TAX-2277 // TAX-19 // TAX-891 // TAX-38815 // TAX-64160 // TAX-899 // TAX-2714 // TAX-42838 // TAX-920 // TAX-12915	H2SOXIREDPYRO-RXN
GLUCOSE1PMETAB-PWY	Carbohydrates-Degradation	Sugars-And-Polysaccharides-Degradation	TAX-2157 // TAX-2759 // TAX-2	TAX-511145	RXN0-6373 // GLUCOKIN-RXN // PHOSPHOGLUCMUT-RXN // GLUCONOLACT-RXN // GLUCOSE-1-PHOSPHAT-RXN
PWY-5642	AROMATIC-COMPOUNDS-DEGRADATION	Dinitrotoluene-Degradation	TAX-2	TAX-233098 // ORG-5883	RXN-17165 // 1.2.1.27-RXN // RXN-8824 // RXN-8823 // RXN-8822 // RXN-8821 // RXN-8820
PWY-6142	Super-Pathways // Carbohydrates-Biosynthesis	Gluconeogenesis // Super-Pathways	TAX-2157	TAX-79930 // TAX-187420 // TAX-145262 // TAX-79929	PEPSYNTH-RXN // PWY-7784 // PGLUCISOM-RXN // RXN0-5224 // PYRUVATE-CARBOXYLASE-RXN // PEPCARBOX-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // 1.2.7.6-RXN // TRIOSEPISOMERIZATION-RXN // F16ALDOLASE-RXN // R302-RXN // PYRUFLAVREDUCT-RXN
PWY-7976	Noncarbon-Nutrients	Sulfur-reduction	TAX-2157	TAX-2261	RXN-14537
PWY-7562	Carbohydrates-Degradation	Sugar-Derivatives	TAX-2	TAX-943941 // TAX-342610 // TAX-100226 // TAX-1116375	KDPGALDOL-RXN // DEOXYGLUCONOKIN-RXN // RXN-16964 // 1.1.1.127-RXN // RXN-15999 // RXN-15893 // RXN-15892
PWY-7681	AROMATIC-COMPOUNDS-DEGRADATION	Dinitrotoluene-Degradation	TAX-2	ORG-6281	RXN-16792
PWY-7347	Carbohydrates-Biosynthesis	Sucrose-Biosynthesis	TAX-32011 // TAX-40222 // TAX-429 // TAX-39773	TAX-265072	PGLUCISOM-RXN // SUCROSE-PHOSPHATASE-RXN // SUCROSE-PHOSPHATE-SYNTHASE-RXN
PWY-8093	Carbohydrates-Degradation	D-Apiose-Degradation	TAX-2	TAX-311403 // TAX-439375 // TAX-396598	RXN-20932 // RXN-20931
PWY-1381	AROMATIC-COMPOUNDS-DEGRADATION	Fluorene-Degradation	TAX-1224	TAX-110517	FLUORENE-OXYGENASE-RXN // RXN-2482
PWY-7238	Carbohydrates-Biosynthesis	Sucrose-Biosynthesis	TAX-33090	TAX-3888 // TAX-4081 // TAX-4113 // TAX-3562 // ORG-5993	GLUCOKIN-RXN // PHOSPHOGLUCMUT-RXN // PGLUCISOM-RXN // GLUC1PURIDYLTRANS-RXN // RXN-14353 // RXN-14354 // SUCROSE-PHOSPHATASE-RXN // SUCROSE-PHOSPHATE-SYNTHASE-RXN
PWY-6041	AROMATIC-COMPOUNDS-DEGRADATION	Sulfoaromatics-Degradation	TAX-2	TAX-65786 // TAX-80866 // ORG-6047	MALEYLACETATE-REDUCTASE-RXN // RXN-9733 // RXN-9732 // RXN-9731
PWY-8089	Carbohydrates-Degradation	D-Apiose-Degradation	TAX-2	TAX-339671 // TAX-435590 // TAX-476272 // TAX-218491 // TAX-558270	RXN-20930 // RXN-20928 // RXN-20929
FLUORENE-DEG-9-ONE-PWY	AROMATIC-COMPOUNDS-DEGRADATION	Fluorene-Degradation	TAX-201174	ORG-5880	RXN-19492 // RXN-7282 // RXN-2506 // RXN-2505 // RXN-2502 // RXN-2501 // 9-FLUORENOL-DEHYDROGENASE-RXN // FLUORENE-OXYGENASE-RXN
SUCSYN-PWY	Super-Pathways // Carbohydrates-Biosynthesis	Sucrose-Biosynthesis // Super-Pathways	TAX-1117 // TAX-33090	TAX-3847 // TAX-3750 // TAX-4097 // TAX-4530 // TAX-39947 // TAX-4081 // TAX-3562 // ORG-5993	PGLUCISOM-RXN // PWY-7343 // F16BDEPHOS-RXN // F16ALDOLASE-RXN // GAPOXNPHOSPHN-RXN // PHOSGLYPHOS-RXN // SUCROSE-PHOSPHATASE-RXN // SUCROSE-PHOSPHATE-SYNTHASE-RXN
DESULFONATION-PWY	AROMATIC-COMPOUNDS-DEGRADATION	Sulfoaromatics-Degradation	TAX-1224	TAX-108557	BSDOSALCAL-RXN
PWY-7416	Lipid-Biosynthesis	PhosphatidylcholineBiosynthesis	TAX-2759	TAX-4932	RXN-1641 // RXN-15066 // RXN-15065
PWY-7815	Cell-Structure-Biosynthesis	Teichoic-Acids-Biosynthesis	TAX-1239	TAX-655816	RXN-18030 // RXN-18029 // RXN-18018 // RXN-18017 // RXN-18016 // RXN-18015 // RXN-18014 // RXN-18013 // GLCNACPTRANS-RXN // 2.7.7.39-RXN // TEICHOICSYN3-RXN // TEICHOICSYN2-RXN // UDPGLCNACEPIM-RXN
PWY-7521	AROMATIC-COMPOUNDS-DEGRADATION	Sulfoaromatics-Degradation	TAX-1224	TAX-399795	RXN-15638 // RXN-15637 // RXN-15636
PWY3O-450	Lipid-Biosynthesis	PhosphatidylcholineBiosynthesis	TAX-203692 // TAX-2759	TAX-9606 // TAX-10090 // TAX-4932 // TAX-4550 // TAX-158 // TAX-160 // TAX-162 // TAX-69710	RXN-5781 // 2.7.7.15-RXN // CHOLINE-KINASE-RXN
PWY-7818	Cell-Structure-Biosynthesis	Teichoic-Acids-Biosynthesis	TAX-1239	TAX-1313	RXN-15377 // RXN-18053 // 2.4.1.157-RXN // TRANS-RXN-319 // CHOLINE-KINASE-RXN // 2.7.7.15-RXN // TRANS-RXN-318 // RXN-18050 // RXN-18042 // RXN-18043 // RXN-18044 // RXN-18045 // RXN-18046 // RXN-18047 // RXN-18048 // RXN-18049 // RXN-18013 // RXN-18014
PWY-6718	Noncarbon-Nutrients	Sulfoacetaldehyde-Degradation	TAX-2	TAX-314277 // TAX-204038 // TAX-357794 // TAX-290398 // ORG-6177	RXN-12148
PWY4FS-4	Lipid-Biosynthesis	PhosphatidylcholineBiosynthesis	TAX-33090	TAX-4039 // TAX-4146	RXN-5642 // 2.1.1.103-RXN // RXN4FS-2 // RXN4FS-4 // RXN4FS-3
