Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions
PWY-8322	Protein-Modification // Glycan-Pathways // Carbohydrates-Biosynthesis	Protein-Glycosylation	TAX-4890	TAX-4932	RXN-22686 // RXN-22685 // 2.4.1.232-RXN
PWY-7779	Other-Degradation	Other-Degradation	TAX-2	TAX-391953 // TAX-420662 // ORG-6302 // ORG-6301 // ORG-6303 // ORG-6300	ACETYL-COA-ACETYLTRANSFER-RXN // RXN-11662 // RXN-17605 // RXN-17606 // RXN-17603 // RXN-17602 // RXN-17610 // RXN-17615 // RXN-17613 // RXN-17612
PWY-5826	SECONDARY-METABOLITE-BIOSYNTHESIS	Toxin-Biosynthesis	TAX-3193	TAX-259381	RXN-15121 // RXN-15123 // RXN-15122 // RXN-9189 // RXN-9157 // RXN-9167 // RXN-9168 // RXN-9169 // RXN-9170 // RXN-9171 // RXN-9172 // RXN-9173 // RXN-9174 // RXN-9175
PWY-5941	Carbohydrates-Degradation // Polymer-Degradation // Glycan-Pathways	Glycan-Pathways // Glycogen-Degradation	TAX-2157 // TAX-2 // TAX-33154	TAX-7227 // TAX-9606 // TAX-7130 // TAX-4932	GLUCOKIN-RXN // RXN-19947 // PHOSPHOGLUCMUT-RXN // RXN-9024 // RXN-9025 // GLYCOPHOSPHORYL-RXN
PWY-7586	Carbohydrates-Degradation	Carbohydrates-Degradation	TAX-68336	TAX-214856 // TAX-817 // TAX-290053 // TAX-376805 // TAX-226186 // TAX-821 // TAX-823 // TAX-52227 // TAX-28129 // TAX-28132	MANNPISOM-RXN // PHOSMANMUT-RXN // RXN-15203
PWY-3542	Polyamine-Biosynthesis	Choline-Biosynthesis	TAX-3398	TAX-3988	RXN-5641 // RXN-5763 // RXN-5762 // RXN-5761
PWY-7540	SECONDARY-METABOLITE-BIOSYNTHESIS	Toxin-Biosynthesis	TAX-5052	TAX-5059	RXN-15739 // RXN-15738 // RXN-15737
PWY-5686	Nucleotide-Biosynthesis	UMP-Biosynthesis	TAX-2759 // TAX-2	TAX-511145 // TAX-9606 // ORG-5993	DIHYDROOROTATE-DEHYDROGENASE-RXN // OROTPDECARB-RXN // OROPRIBTRANS-RXN // DIHYDROOROT-RXN // ASPCARBTRANS-RXN // CARBPSYN-RXN
PWY-7658	Protein-Modification // Glycan-Pathways // Carbohydrates-Biosynthesis	Protein-Glycosylation	TAX-2157	TAX-2188	RXN-22112 // RXN-16573 // RXN-16572 // RXN-16571 // RXN-16570 // RXN-16569
PWY-6028	Other-Degradation	Other-Degradation	TAX-2	TAX-52690 // TAX-1423 // TAX-33954 // TAX-106590 // TAX-1351 // TAX-29543 // TAX-29542 // TAX-19 // TAX-338963 // TAX-44672	RXN-22437 // RXN-22436 // RXN-22435
PWY-8083	SECONDARY-METABOLITE-BIOSYNTHESIS	Toxin-Biosynthesis	TAX-41953	TAX-37319	RXN-20904 // RXN-20903 // RXN-20902 // RXN-20872 // RXN-20871 // RXN-20869
