reaction_id	media	gapfilling_sensitivity_id
rxn09040_c0	C-D-Glucose; Carbon-a-D-Lactose; Carbon-Maltose; Carbon-Sucrose; Carbon-D-Fructose; Carbon-L-Glutamic-Acid; Carbon-Salicin	cpd00056_c0; cpd11493_c0; cpd15560_c0
rxn03638_c0	C-D-Glucose; Carbon-a-D-Lactose; Carbon-Maltose; Carbon-Sucrose; Carbon-D-Fructose; Carbon-L-Glutamic-Acid; Carbon-Salicin	cpd00056_c0; cpd03736_c0; cpd11493_c0; cpd15665_c0; cpd15666_c0
rxn02897_c0	C-D-Glucose; Carbon-a-D-Lactose; Carbon-Maltose; Carbon-Sucrose; Carbon-D-Fructose; Carbon-L-Glutamic-Acid; Carbon-Salicin	cpd00166_c0; cpd01997_c0; cpd03422_c0; cpd11493_c0
rxn03394_c0	C-D-Glucose; Carbon-a-D-Lactose; Carbon-Maltose; Carbon-Sucrose; Carbon-D-Fructose; Carbon-L-Glutamic-Acid; Carbon-Salicin	cpd00056_c0; cpd15560_c0
rxn05144_c0	C-D-Glucose; Carbon-a-D-Lactose; Carbon-Maltose; Carbon-Sucrose; Carbon-D-Fructose; Carbon-L-Glutamic-Acid; Carbon-Salicin	cpd00016_c0; cpd15666_c0
rxn01466_c0	C-D-Glucose; Carbon-a-D-Lactose; Carbon-Maltose; Carbon-Sucrose; Carbon-D-Fructose; Carbon-L-Glutamic-Acid; Carbon-Salicin	cpd00056_c0; cpd02229_c0; cpd15352_c0; cpd15500_c0; cpd15560_c0
rxn00023_c0	C-D-Glucose; Carbon-a-D-Lactose; Carbon-Maltose; Carbon-Sucrose; Carbon-D-Fructose; Carbon-L-Glutamic-Acid; Carbon-Salicin	cpd00010_c0; cpd00017_c0; cpd00042_c0; cpd00056_c0; cpd11493_c0; cpd12370_c0; cpd15560_c0; cpd00060_c0; cpd00084_c0
rxn03395_c0	C-D-Glucose; Carbon-a-D-Lactose; Carbon-Maltose; Carbon-Sucrose; Carbon-D-Fructose; Carbon-L-Glutamic-Acid; Carbon-Salicin	cpd00056_c0; cpd15560_c0
rxn48586_c0	C-D-Glucose; Carbon-a-D-Lactose; Carbon-Maltose; Carbon-Sucrose; Carbon-D-Fructose; Carbon-L-Glutamic-Acid; Carbon-Salicin	cpd00010_c0; cpd00017_c0; cpd00042_c0; cpd00056_c0; cpd11493_c0; cpd12370_c0; cpd15560_c0; cpd00060_c0; cpd00084_c0
EX_cpd00208_e0	Carbon-a-D-Lactose	cpd00003_c0; cpd00006_c0; cpd00010_c0; cpd00015_c0; cpd00016_c0; cpd00017_c0; cpd00028_c0; cpd00042_c0; cpd00056_c0; cpd00058_c0; cpd00087_c0; cpd00118_c0; cpd00166_c0; cpd00201_c0; cpd00220_c0; cpd00264_c0; cpd00345_c0; cpd00557_c0; cpd01997_c0; cpd02229_c0; cpd03422_c0; cpd03736_c0; cpd10516_c0; cpd11462_c0; cpd11463_c0; cpd11493_c0; cpd12370_c0; cpd15352_c0; cpd15500_c0; cpd15533_c0; cpd15540_c0; cpd15560_c0; cpd15665_c0; cpd15666_c0; cpd15793_c0; cpd00115_c0; cpd00241_c0; cpd00356_c0; cpd00357_c0; cpd11461_c0; cpd00060_c0
rxn05598_c0	Carbon-a-D-Lactose	cpd00003_c0; cpd00006_c0; cpd00010_c0; cpd00015_c0; cpd00016_c0; cpd00017_c0; cpd00028_c0; cpd00042_c0; cpd00056_c0; cpd00058_c0; cpd00087_c0; cpd00118_c0; cpd00166_c0; cpd00201_c0; cpd00220_c0; cpd00264_c0; cpd00345_c0; cpd00557_c0; cpd01997_c0; cpd02229_c0; cpd03422_c0; cpd03736_c0; cpd10516_c0; cpd11462_c0; cpd11463_c0; cpd11493_c0; cpd12370_c0; cpd15352_c0; cpd15500_c0; cpd15533_c0; cpd15540_c0; cpd15560_c0; cpd15665_c0; cpd15666_c0; cpd15793_c0; cpd00115_c0; cpd00241_c0; cpd00356_c0; cpd00357_c0; cpd11461_c0; cpd00066_c0
EX_cpd00179_e0	Carbon-Maltose	cpd00003_c0; cpd00006_c0; cpd00010_c0; cpd00015_c0; cpd00016_c0; cpd00017_c0; cpd00028_c0; cpd00042_c0; cpd00056_c0; cpd00058_c0; cpd00087_c0; cpd00118_c0; cpd00166_c0; cpd00201_c0; cpd00220_c0; cpd00264_c0; cpd00345_c0; cpd00557_c0; cpd01997_c0; cpd02229_c0; cpd03422_c0; cpd03736_c0; cpd10516_c0; cpd11462_c0; cpd11463_c0; cpd11493_c0; cpd12370_c0; cpd15352_c0; cpd15500_c0; cpd15533_c0; cpd15540_c0; cpd15560_c0; cpd15665_c0; cpd15666_c0; cpd15793_c0; cpd00115_c0; cpd00241_c0; cpd00356_c0; cpd00357_c0; cpd11461_c0; cpd00060_c0
rxn05170_c0	Carbon-Maltose	cpd00003_c0; cpd00006_c0; cpd00010_c0; cpd00015_c0; cpd00016_c0; cpd00017_c0; cpd00028_c0; cpd00042_c0; cpd00056_c0; cpd00058_c0; cpd00087_c0; cpd00118_c0; cpd00166_c0; cpd00201_c0; cpd00220_c0; cpd00264_c0; cpd00345_c0; cpd00557_c0; cpd01997_c0; cpd02229_c0; cpd03422_c0; cpd03736_c0; cpd10516_c0; cpd11462_c0; cpd11463_c0; cpd11493_c0; cpd12370_c0; cpd15352_c0; cpd15500_c0; cpd15533_c0; cpd15540_c0; cpd15560_c0; cpd15665_c0; cpd15666_c0; cpd15793_c0; cpd00115_c0; cpd00241_c0; cpd00356_c0; cpd00357_c0; cpd11461_c0; cpd00023_c0; cpd00035_c0; cpd00039_c0; cpd00041_c0; cpd00051_c0; cpd00053_c0; cpd00054_c0; cpd00060_c0; cpd00065_c0; cpd00066_c0; cpd00069_c0; cpd00084_c0; cpd00107_c0; cpd00119_c0; cpd00129_c0; cpd00132_c0; cpd00156_c0; cpd00161_c0; cpd00322_c0
